Município,Casos de Tuberculose
261190 Rio Formoso,11
261220 Salgueiro,31
261230 Saloá,2
261240 Sanharó,7
261245 Santa Cruz,1
261250 Santa Cruz do Capibaribe,25
261255 Santa Filomena,1
261260 Santa Maria da Boa Vista,7
261270 Santa Maria do Cambucá,1
261290 São Benedito do Sul,2
261300 São Bento do Una,12
261310 São Caitano,4
261320 São João,6
261330 São Joaquim do Monte,5
261340 São José da Coroa Grande,11
261350 São José do Belmonte,1
261360 São José do Egito,8
261370 São Lourenço da Mata,43
261380 São Vicente Ferrer,10
261390 Serra Talhada,15
261400 Serrita,3
261410 Sertânia,2
261420 Sirinhaém,13
261450 Surubim,4
261460 Tabira,4
261470 Tacaimbó,4
261480 Tacaratu,7
261485 Tamandaré,6
261500 Taquaritinga do Norte,7
261520 Terra Nova,2
261530 Timbaúba,26
261540 Toritama,7
261550 Tracunhaém,3
261560 Trindade,6
261570 Triunfo,5
261580 Tupanatinga,7
261618 Vertente do Lério,1
261620 Vertentes,9
261630 Vicência,7
261640 Vitória de Santo Antão,65
261650 Xexéu,2
270010 Água Branca,5
270020 Anadia,2
270030 Arapiraca,105
270040 Atalaia,10
270050 Barra de Santo Antônio,3
270060 Barra de São Miguel,4
270070 Batalha,4
270080 Belém,1
270100 Boca da Mata,1
270110 Branquinha,1
270120 Cacimbinhas,4
270130 Cajueiro,6
270140 Campo Alegre,9
270160 Canapi,3
270170 Capela,4
270190 Chã Preta,1
270200 Coité do Nóia,5
270220 Coqueiro Seco,1
270230 Coruripe,13
270235 Craíbas,2
270240 Delmiro Gouveia,11
270250 Dois Riachos,1
270255 Estrela de Alagoas,2
270280 Flexeiras,3
270290 Girau do Ponciano,2
270300 Ibateguara,2
270310 Igaci,4
270320 Igreja Nova,1
270330 Inhapi,2
270350 Jacuípe,3
270380 Joaquim Gomes,1
270400 Junqueiro,1
270420 Limoeiro de Anadia,2
270430 Maceió,737
270440 Major Isidoro,1
270450 Maragogi,5
270470 Marechal Deodoro,12
270480 Maribondo,2
270510 Matriz de Camaragibe,7
270520 Messias,3
270530 Minador do Negrão,1
270540 Monteirópolis,2
270550 Murici,11
270560 Novo Lino,3
270570 Olho d'Água das Flores,4
270580 Olho d'Água do Casado,1
270600 Olivença,1
270610 Ouro Branco,2
270620 Palestina,2
270630 Palmeira dos Índios,19
270640 Pão de Açúcar,2
270644 Paripueira,2
270670 Penedo,21
270680 Piaçabuçu,4
270690 Pilar,14
270700 Pindoba,1
270710 Piranhas,4
270720 Poço das Trincheiras,4
270730 Porto Calvo,1
270750 Porto Real do Colégio,1
270760 Quebrangulo,3
270770 Rio Largo,18
270790 Santa Luzia do Norte,4
270800 Santana do Ipanema,18
270810 Santana do Mundaú,3
270830 São José da Laje,7
270840 São José da Tapera,2
270850 São Luís do Quitunde,8
270860 São Miguel dos Campos,24
270870 São Miguel dos Milagres,2
270880 São Sebastião,1
270890 Satuba,9
270895 Senador Rui Palmeira,1
270915 Teotônio Vilela,18
270920 Traipu,1
270930 União dos Palmares,12
270940 Viçosa,4
280020 Aquidabã,1
280030 Aracaju,387
280040 Arauá,3
280050 Areia Branca,3
280060 Barra dos Coqueiros,9
280067 Boquim,3
280070 Brejo Grande,1
280100 Campo do Brito,1
280120 Canindé de São Francisco,4
280130 Capela,4
280140 Carira,3
280150 Carmópolis,4
280170 Cristinápolis,5
280200 Divina Pastora,1
280210 Estância,23
280230 Frei Paulo,2
280270 Ilha das Flores,2
280290 Itabaiana,37
280300 Itabaianinha,2
280320 Itaporanga d'Ajuda,8
280330 Japaratuba,5
280340 Japoatã,1
280350 Lagarto,39
280360 Laranjeiras,13
280380 Malhada dos Bois,1
280390 Malhador,1
280400 Maruim,8
280410 Moita Bonita,2
280430 Muribeca,1
280440 Neópolis,4
280445 Nossa Senhora Aparecida,1
280450 Nossa Senhora da Glória,11
280460 Nossa Senhora das Dores,9
280470 Nossa Senhora de Lourdes,2
280480 Nossa Senhora do Socorro,53
280490 Pacatuba,2
280510 Pedrinhas,3
280520 Pinhão,1
280530 Pirambu,1
280550 Poço Verde,1
280560 Porto da Folha,3
280570 Propriá,25
280580 Riachão do Dantas,4
280590 Riachuelo,3
280600 Ribeirópolis,2
280610 Rosário do Catete,1
280620 Salgado,3
280630 Santa Luzia do Itanhy,2
280670 São Cristóvão,47
280680 São Domingos,4
280690 São Francisco,1
280710 Simão Dias,7
280720 Siriri,1
280730 Telha,1
280740 Tobias Barreto,20
280750 Tomar do Geru,1
280760 Umbaúba,5
290020 Abaré,3
290030 Acajutiba,3
290035 Adustina,4
290040 Água Fria,1
290060 Aiquara,1
290070 Alagoinhas,28
290080 Alcobaça,4
290090 Almadina,1
290100 Amargosa,9
290110 Amélia Rodrigues,6
290120 Anagé,3
290130 Andaraí,2
290135 Andorinha,1
290140 Angical,11
290150 Anguera,1
290160 Antas,6
290170 Antônio Cardoso,1
290180 Antônio Gonçalves,5
290190 Aporá,5
290195 Apuarema,1
290205 Araças,2
290200 Aracatu,1
290210 Araci,14
290220 Aramari,3
290230 Aratuípe,4
290240 Aurelino Leal,3
290260 Baixa Grande,4
290270 Barra,10
290280 Barra da Estiva,1
290290 Barra do Choça,1
290300 Barra do Mendes,2
290310 Barra do Rocha,3
290320 Barreiras,53
290323 Barro Alto,2
290330 Barro Preto,3
290327 Barrocas,4
290340 Belmonte,15
290350 Belo Campo,2
290360 Biritinga,2
290370 Boa Nova,1
290380 Boa Vista do Tupim,3
290390 Bom Jesus da Lapa,15
290395 Bom Jesus da Serra,7
290400 Boninal,1
290410 Boquira,5
290420 Botuporã,2
290430 Brejões,2
290440 Brejolândia,2
290450 Brotas de Macaúbas,2
290460 Brumado,10
290470 Buerarema,5
290475 Buritirama,2
290480 Caatiba,2
290485 Cabaceiras do Paraguaçu,1
290490 Cachoeira,8
290510 Caém,1
290515 Caetanos,1
290530 Cafarnaum,4
290540 Cairu,5
290550 Caldeirão Grande,1
290560 Camacan,11
290570 Camaçari,68
290580 Camamu,12
290590 Campo Alegre de Lourdes,1
290600 Campo Formoso,15
290610 Canápolis,3
290620 Canarana,4
290630 Canavieiras,14
290650 Candeias,30
290660 Candiba,1
290670 Cândido Sales,5
290680 Cansanção,6
290685 Capela do Alto Alegre,2
290687 Capim Grosso,7
290689 Caraíbas,4
290690 Caravelas,9
290710 Carinhanha,5
290720 Casa Nova,4
290730 Castro Alves,11
290740 Catolândia,1
290750 Catu,14
290760 Central,1
290780 Cícero Dantas,3
290790 Cipó,6
290800 Coaraci,7
290810 Cocos,3
290820 Conceição da Feira,3
290830 Conceição do Almeida,4
290840 Conceição do Coité,11
290850 Conceição do Jacuípe,9
290860 Conde,6
290870 Condeúba,2
290880 Contendas do Sincorá,1
290890 Coração de Maria,1
290910 Coribe,2
290930 Correntina,1
290940 Cotegipe,2
290950 Cravolândia,1
290960 Crisópolis,3
290980 Cruz das Almas,7
290990 Curaçá,4
291000 Dário Meira,1
291005 Dias d'Ávila,27
291020 Dom Macedo Costa,1
291040 Encruzilhada,4
291050 Entre Rios,3
290050 Érico Cardoso,1
291060 Esplanada,6
291070 Euclides da Cunha,12
291072 Eunápolis,71
291075 Fátima,2
291080 Feira de Santana,180
291085 Filadélfia,3
291110 Formosa do Rio Preto,4
291120 Gandu,2
291125 Gavião,2
291130 Gentio do Ouro,1
291140 Glória,1
291150 Gongogi,4
291160 Governador Mangabeira,4
291165 Guajeru,1
291170 Guanambi,7
291180 Guaratinga,3
291185 Heliópolis,4
291190 Iaçu,8
291210 Ibicaraí,9
291220 Ibicoara,2
291230 Ibicuí,5
291240 Ibipeba,6
291250 Ibipitanga,5
291260 Ibiquera,1
291270 Ibirapitanga,11
291280 Ibirapuã,3
291290 Ibirataia,13
291300 Ibitiara,8
291310 Ibititá,2
291320 Ibotirama,5
291330 Ichu,1
291345 Igrapiúna,1
291350 Iguaí,7
291360 Ilhéus,148
291370 Inhambupe,2
291380 Ipecaetá,2
291390 Ipiaú,26
291400 Ipirá,4
291420 Irajuba,1
291440 Iraquara,5
291450 Irará,6
291460 Irecê,21
291465 Itabela,7
291470 Itaberaba,6
291480 Itabuna,170
291490 Itacaré,25
291510 Itagi,2
291520 Itagibá,1
291530 Itagimirim,3
291540 Itaju do Colônia,1
291550 Itajuípe,5
291560 Itamaraju,24
291580 Itambé,5
291590 Itanagra,1
291600 Itanhém,7
291610 Itaparica,4
291620 Itapé,1
291630 Itapebi,3
291640 Itapetinga,24
291650 Itapicuru,6
291660 Itapitanga,1
291670 Itaquara,1
291680 Itarantim,5
291685 Itatim,5
291690 Itiruçu,1
291700 Itiúba,6
291710 Itororó,3
291720 Ituaçu,1
291730 Ituberá,5
291733 Iuiú,4
291750 Jacobina,26
291760 Jaguaquara,4
291770 Jaguarari,6
291780 Jaguaripe,3
291790 Jandaíra,1
291800 Jequié,73
291810 Jeremoabo,3
291820 Jiquiriçá,2
291830 Jitaúna,5
291835 João Dourado,2
291840 Juazeiro,86
291845 Jucuruçu,2
291850 Jussara,4
291855 Jussari,3
291880 Laje,3
291905 Lajedo do Tabocal,2
291910 Lamarão,1
291915 Lapão,7
291920 Lauro de Freitas,69
291930 Lençóis,2
291950 Livramento de Nossa Senhora,7
291955 Luís Eduardo Magalhães,21
291960 Macajuba,2
291970 Macarani,7
291980 Macaúbas,5
291990 Macururé,1
291992 Madre de Deus,6
292000 Maiquinique,3
292010 Mairi,5
292020 Malhada,1
292030 Malhada de Pedras,2
292040 Manoel Vitorino,3
292050 Maracás,4
292060 Maragogipe,10
292070 Maraú,7
292080 Marcionílio Souza,1
292090 Mascote,2
292100 Mata de São João,24
292110 Medeiros Neto,7
292120 Miguel Calmon,2
292130 Milagres,5
292140 Mirangaba,6
292145 Mirante,1
292150 Monte Santo,3
292170 Morro do Chapéu,6
292190 Mucugê,5
292200 Mucuri,10
292205 Mulungu do Morro,2
292210 Mundo Novo,2
292225 Muquém de São Francisco,1
292230 Muritiba,8
292250 Nazaré,6
292260 Nilo Peçanha,3
292265 Nordestina,4
292270 Nova Canaã,3
292275 Nova Ibiá,4
292280 Nova Itarana,1
292290 Nova Soure,4
292300 Nova Viçosa,12
292303 Novo Horizonte,1
292305 Novo Triunfo,3
292310 Olindina,2
292320 Oliveira dos Brejinhos,1
292330 Ouriçangas,2
292335 Ourolândia,5
292340 Palmas de Monte Alto,1
292350 Palmeiras,1
292360 Paramirim,7
292370 Paratinga,2
292380 Paripiranga,6
292400 Paulo Afonso,41
292405 Pé de Serra,2
292430 Piatã,2
292440 Pilão Arcado,1
292460 Pindobaçu,17
292467 Piraí do Norte,3
292480 Piritiba,6
292500 Planalto,3
292510 Poções,3
292520 Pojuca,8
292525 Ponto Novo,2
292530 Porto Seguro,52
292540 Potiraguá,1
292550 Prado,12
292560 Presidente Dutra,1
292575 Presidente Tancredo Neves,6
292580 Queimadas,5
292590 Quijingue,2
292595 Rafael Jambeiro,10
292600 Remanso,5
292610 Retirolândia,1
292620 Riachão das Neves,3
292630 Riachão do Jacuípe,2
292640 Riacho de Santana,1
292660 Ribeira do Pombal,13
292665 Ribeirão do Largo,2
292670 Rio de Contas,2
292690 Rio do Pires,1
292700 Rio Real,6
292710 Rodelas,1
292720 Ruy Barbosa,5
292730 Salinas da Margarida,1
292740 Salvador,2304
292750 Santa Bárbara,7
292770 Santa Cruz Cabrália,18
292780 Santa Cruz da Vitória,3
292790 Santa Inês,2
292805 Santa Luzia,2
292810 Santa Maria da Vitória,9
292840 Santa Rita de Cássia,5
292800 Santaluz,6
292820 Santana,5
292860 Santo Amaro,22
292870 Santo Antônio de Jesus,19
292880 Santo Estêvão,8
292890 São Desidério,4
292895 São Domingos,1
292910 São Felipe,3
292900 São Félix,2
292905 São Félix do Coribe,2
292920 São Francisco do Conde,22
292925 São Gabriel,6
292935 São José da Vitória,3
292937 São José do Jacuípe,1
292940 São Miguel das Matas,2
292950 São Sebastião do Passé,6
292960 Sapeaçu,7
292970 Sátiro Dias,5
292975 Saubara,1
292980 Saúde,3
292990 Seabra,9
293000 Sebastião Laranjeiras,3
293010 Senhor do Bonfim,34
293020 Sento Sé,4
293015 Serra do Ramalho,3
293030 Serra Dourada,3
293050 Serrinha,18
293070 Simões Filho,46
293075 Sítio do Mato,1
293076 Sítio do Quinto,4
293080 Souto Soares,1
293100 Tanhaçu,1
293110 Tanquinho,1
293120 Taperoá,4
293135 Teixeira de Freitas,51
293140 Teodoro Sampaio,1
293150 Teofilândia,2
293160 Teolândia,5
293170 Terra Nova,3
293180 Tremedal,3
293190 Tucano,15
293200 Uauá,2
293210 Ubaíra,2
293220 Ubaitaba,7
293230 Ubatã,6
293240 Uibaí,4
293245 Umburanas,2
293250 Una,9
293260 Urandi,2
293270 Uruçuca,7
293280 Utinga,4
293290 Valença,42
293300 Valente,5
293305 Várzea da Roça,1
293315 Várzea Nova,3
293317 Varzedo,1
293320 Vera Cruz,13
293330 Vitória da Conquista,98
293345 Wanderley,5
293350 Wenceslau Guimarães,6
293360 Xique-Xique,10
310020 Abaeté,6
310040 Acaiaca,1
310050 Açucena,1
310060 Água Boa,1
310090 Águas Formosas,3
310110 Aimorés,3
310120 Aiuruoca,2
310140 Albertina,1
310150 Além Paraíba,16
310160 Alfenas,24
310170 Almenara,7
310180 Alpercata,2
310190 Alpinópolis,1
310200 Alterosa,10
315350 Alto Jequitibá,4
310210 Alto Rio Doce,2
310230 Alvinópolis,1
310260 Andradas,6
310290 Antônio Carlos,1
310300 Antônio Dias,4
310340 Araçuaí,10
310350 Araguari,11
310375 Araporã,2
310380 Arapuá,1
310390 Araújos,1
310400 Araxá,5
310410 Arceburgo,1
310420 Arcos,4
310450 Arinos,3
310460 Astolfo Dutra,4
310470 Ataléia,1
310490 Baependi,3
310510 Bambuí,2
310520 Bandeira,1
310540 Barão de Cocais,4
310550 Barão de Monte Alto,1
310560 Barbacena,22
310590 Barroso,6
310600 Bela Vista de Minas,3
310610 Belmiro Braga,1
310620 Belo Horizonte,899
310630 Belo Oriente,1
310640 Belo Vale,1
310650 Berilo,1
310660 Bertópolis,1
310670 Betim,57
310690 Bicas,1
310710 Boa Esperança,1
310720 Bocaina de Minas,1
310730 Bocaiúva,8
310740 Bom Despacho,1
310790 Bom Repouso,2
310825 Bonito de Minas,2
310830 Borda da Mata,1
310840 Botelhos,1
310870 Brás Pires,3
310855 Brasilândia de Minas,2
310860 Brasília de Minas,4
310890 Brazópolis,2
310900 Brumadinho,4
310920 Buenópolis,2
310940 Buritizeiro,1
310950 Cabo Verde,1
310270 Cachoeira de Pajeú,1
310990 Caetanópolis,2
311000 Caeté,3
311020 Cajuri,2
311030 Caldas,1
311050 Camanducaia,1
311060 Cambuí,2
311070 Cambuquira,5
311080 Campanário,1
311100 Campestre,1
311120 Campo Belo,5
311150 Campos Altos,1
311160 Campos Gerais,6
311180 Canápolis,1
311200 Candeias,2
311230 Capelinha,3
311265 Capitão Andrade,1
311270 Capitão Enéas,2
311280 Capitólio,1
311300 Caraí,5
311320 Carandaí,3
311330 Carangola,16
311340 Caratinga,14
311370 Carlos Chagas,1
311400 Carmo da Mata,1
311410 Carmo de Minas,1
311420 Carmo do Cajuru,2
311430 Carmo do Paranaíba,2
311440 Carmo do Rio Claro,3
311450 Carmópolis de Minas,1
311510 Cássia,1
311530 Cataguases,14
311535 Catas Altas,1
311545 Catuji,2
311550 Caxambu,4
311580 Centralina,4
311600 Chalé,1
311615 Chapada Gaúcha,1
311660 Cláudio,2
311670 Coimbra,1
311700 Comercinho,1
311710 Conceição da Aparecida,1
311730 Conceição das Alagoas,2
311740 Conceição de Ipanema,1
311750 Conceição do Mato Dentro,2
311783 Cônego Marinho,3
311790 Congonhal,1
311800 Congonhas,5
311830 Conselheiro Lafaiete,5
311840 Conselheiro Pena,10
311860 Contagem,87
311880 Coração de Jesus,2
311890 Cordisburgo,1
311910 Corinto,8
311920 Coroaci,2
311940 Coronel Fabriciano,25
311950 Coronel Murta,2
311960 Coronel Pacheco,1
311980 Córrego Danta,1
311990 Córrego do Bom Jesus,1
312080 Cruzília,9
312087 Curral de Dentro,1
312090 Curvelo,9
312125 Delta,1
312160 Diamantina,7
312190 Divinésia,2
312200 Divino,2
312220 Divinolândia de Minas,1
312230 Divinópolis,36
312235 Divisa Alegre,1
312280 Dom Viçoso,1
312320 Dores do Indaiá,8
312330 Dores do Turvo,1
312352 Durandé,2
312360 Elói Mendes,2
312370 Engenheiro Caldas,3
312380 Engenheiro Navarro,2
312390 Entre Rios de Minas,2
312410 Esmeraldas,3
312420 Espera Feliz,3
312430 Espinosa,7
312460 Estrela Dalva,1
312470 Estrela do Indaiá,1
312510 Extrema,11
312580 Fernandes Tourinho,2
312590 Ferros,4
312600 Florestal,1
312610 Formiga,7
312650 Francisco Badaró,1
312670 Francisco Sá,3
312675 Franciscópolis,3
312680 Frei Gaspar,1
312690 Frei Inocêncio,1
312700 Fronteira,1
312710 Frutal,8
312730 Galiléia,2
312735 Glaucilândia,1
312737 Goiabeira,1
312738 Goianá,2
312750 Gonzaga,1
312770 Governador Valadares,100
312800 Guanhães,3
312810 Guapé,1
312870 Guaxupé,14
312880 Guidoval,1
312900 Guiricema,1
312940 Ibertioga,1
312950 Ibiá,4
312960 Ibiaí,1
312965 Ibiracatu,2
312970 Ibiraci,2
312980 Ibirité,18
313005 Icaraí de Minas,3
313010 Igarapé,3
313040 Ijaci,1
313050 Ilicínea,2
313055 Imbé de Minas,1
313090 Inhapim,2
313110 Inimutaba,2
313115 Ipaba,3
313120 Ipanema,5
313130 Ipatinga,106
313150 Ipuiúna,1
313170 Itabira,14
313180 Itabirinha,1
313190 Itabirito,3
313210 Itacarambi,7
313240 Itajubá,32
313250 Itamarandiba,3
313260 Itamarati de Minas,1
313270 Itambacuri,1
313290 Itamogi,3
313310 Itanhandu,1
313320 Itanhomi,1
313330 Itaobim,3
313340 Itapagipe,3
313350 Itapecerica,2
313375 Itaú de Minas,2
313380 Itaúna,25
313400 Itinga,3
313420 Ituiutaba,16
313430 Itumirim,1
313440 Iturama,13
313450 Itutinga,1
313460 Jaboticatubas,4
313470 Jacinto,4
313490 Jacutinga,3
313500 Jaguaraçu,1
313505 Jaíba,9
313507 Jampruca,1
313510 Janaúba,21
313520 Januária,39
313535 Japonvar,1
313540 Jeceaba,1
313545 Jenipapo de Minas,6
313570 Jequitibá,1
313580 Jequitinhonha,9
313600 Joaíma,2
313620 João Monlevade,15
313630 João Pinheiro,6
313640 Joaquim Felício,3
313652 José Gonçalves de Minas,1
313657 Josenópolis,1
313665 Juatuba,3
313670 Juiz de Fora,320
313680 Juramento,1
313695 Juvenília,5
313720 Lagoa da Prata,5
313730 Lagoa dos Patos,1
313750 Lagoa Formosa,2
313753 Lagoa Grande,2
313760 Lagoa Santa,9
313770 Lajinha,2
313800 Laranjal,1
313810 Lassance,1
313820 Lavras,18
313840 Leopoldina,7
313860 Lima Duarte,1
313865 Lontra,3
313868 Luislândia,1
313880 Luz,2
313890 Machacalis,2
313900 Machado,8
313920 Malacacheta,3
313930 Manga,9
313940 Manhuaçu,28
313950 Manhumirim,5
313960 Mantena,4
314000 Mariana,7
314010 Marilac,3
314015 Mário Campos,3
314040 Marmelópolis,1
314050 Martinho Campos,2
314070 Mateus Leme,9
317150 Mathias Lobato,1
314080 Matias Barbosa,1
314085 Matias Cardoso,3
314090 Matipó,1
314100 Mato Verde,2
314110 Matozinhos,2
314130 Medeiros,1
314140 Medina,5
314160 Mercês,1
314170 Mesquita,1
314180 Minas Novas,2
314200 Mirabela,1
314210 Miradouro,1
314220 Miraí,3
314225 Miravânia,2
314230 Moeda,1
314260 Monsenhor Paulo,2
314270 Montalvânia,9
314290 Monte Azul,4
314300 Monte Belo,1
314310 Monte Carmelo,5
314320 Monte Santo de Minas,5
314330 Montes Claros,107
314390 Muriaé,31
314400 Mutum,1
314430 Nanuque,4
314440 Natércia,1
314450 Nazareno,1
314460 Nepomuceno,1
314470 Nova Era,1
314480 Nova Lima,33
314500 Nova Ponte,1
314505 Nova Porteirinha,3
314510 Nova Resende,2
314520 Nova Serrana,12
314530 Novo Cruzeiro,3
314535 Novo Oriente de Minas,3
314537 Novorizonte,1
314550 Olímpio Noronha,2
314560 Oliveira,16
314590 Ouro Branco,2
314600 Ouro Fino,2
314610 Ouro Preto,7
314625 Padre Carvalho,1
314630 Padre Paraíso,3
314670 Palma,3
314675 Palmópolis,2
314710 Pará de Minas,8
314700 Paracatu,9
314720 Paraguaçu,2
314730 Paraisópolis,1
314740 Paraopeba,1
314760 Passa Quatro,3
314790 Passos,24
314800 Patos de Minas,9
314810 Patrocínio,12
314820 Patrocínio do Muriaé,2
314830 Paula Cândido,1
314860 Peçanha,5
314870 Pedra Azul,15
314890 Pedra do Indaiá,1
314915 Pedras de Maria da Cruz,2
314930 Pedro Leopoldo,10
314980 Perdizes,1
314990 Perdões,2
315015 Piedade de Caratinga,5
315040 Piedade dos Gerais,1
315057 Pintópolis,1
315080 Piranga,1
315100 Piranguinho,1
315110 Pirapetinga,3
315120 Pirapora,10
315130 Piraúba,1
315140 Pitangui,6
315150 Piumhi,3
315180 Poços de Caldas,30
315190 Pocrane,1
315200 Pompéu,8
315210 Ponte Nova,38
315217 Ponto dos Volantes,2
315220 Porteirinha,1
315230 Porto Firme,2
315240 Poté,3
315250 Pouso Alegre,35
315260 Pouso Alto,1
315280 Prata,7
315340 Presidente Olegário,3
315360 Prudente de Morais,4
315390 Raposos,6
315400 Raul Soares,5
315410 Recreio,2
315430 Resplendor,1
315440 Ressaquinha,1
315450 Riacho dos Machados,2
315460 Ribeirão das Neves,63
315470 Ribeirão Vermelho,1
315480 Rio Acima,1
315490 Rio Casca,4
315510 Rio do Prado,1
315550 Rio Paranaíba,1
315570 Rio Piracicaba,1
315580 Rio Pomba,2
315590 Rio Preto,2
315600 Rio Vermelho,1
315630 Rodeiro,1
315645 Rosário da Limeira,1
315650 Rubelita,2
315660 Rubim,8
315670 Sabará,35
315680 Sabinópolis,4
315690 Sacramento,2
315700 Salinas,3
315710 Salto da Divisa,2
315720 Santa Bárbara,11
315725 Santa Bárbara do Leste,1
315750 Santa Efigênia de Minas,1
315765 Santa Helena de Minas,1
315780 Santa Luzia,40
315800 Santa Maria de Itabira,1
315820 Santa Maria do Suaçuí,2
315930 Santa Rita de Jacutinga,1
315935 Santa Rita de Minas,1
315950 Santa Rita do Itueto,1
315960 Santa Rita do Sapucaí,6
315980 Santa Vitória,7
315860 Santana do Deserto,1
315890 Santana do Manhuaçu,4
315895 Santana do Paraíso,5
315990 Santo Antônio do Amparo,3
316010 Santo Antônio do Grama,1
316030 Santo Antônio do Jacinto,3
316040 Santo Antônio do Monte,1
316045 Santo Antônio do Retiro,1
316070 Santos Dumont,8
316080 São Bento Abade,1
316090 São Brás do Suaçuí,1
316100 São Domingos do Prata,4
316110 São Francisco,13
316130 São Francisco de Sales,1
316140 São Francisco do Glória,1
316160 São Geraldo da Piedade,2
312550 São Gonçalo do Rio Preto,1
316200 São Gonçalo do Sapucaí,1
316210 São Gotardo,4
316220 São João Batista do Glória,1
316230 São João da Mata,1
316240 São João da Ponte,1
316245 São João das Missões,4
316250 São João del Rei,19
316255 São João do Manhuaçu,1
316260 São João do Oriente,3
316280 São João Evangelista,1
316290 São João Nepomuceno,2
316292 São Joaquim de Bicas,14
316300 São José da Safira,1
316320 São José do Alegre,1
316330 São José do Divino,2
316340 São José do Goiabal,2
316350 São José do Jacuri,2
316370 São Lourenço,10
316410 São Pedro do Suaçuí,1
316420 São Romão,1
316470 São Sebastião do Paraíso,10
316520 São Thomé das Letras,3
316500 São Tiago,1
316510 São Tomás de Aquino,3
316553 Sarzedo,4
316556 Sem-Peixe,1
316557 Senador Amaral,1
316620 Senhora dos Remédios,1
316670 Serra dos Aimorés,1
316690 Serrania,1
316695 Serranópolis de Minas,1
316710 Serro,10
316720 Sete Lagoas,39
316555 Setubinha,1
316730 Silveirânia,1
316760 Simonésia,1
316770 Sobrália,1
316780 Soledade de Minas,1
316790 Tabuleiro,1
316800 Taiobeiras,3
316805 Taparuba,1
316810 Tapira,1
316840 Tarumirim,11
316850 Teixeiras,1
316860 Teófilo Otoni,39
316870 Timóteo,7
316880 Tiradentes,1
316900 Tocantins,6
316930 Três Corações,11
316935 Três Marias,3
316940 Três Pontas,5
316950 Tumiritinga,3
316960 Tupaciguara,10
316970 Turmalina,3
316990 Ubá,38
317005 Ubaporanga,1
317010 Uberaba,65
317020 Uberlândia,132
317040 Unaí,9
317050 Urucânia,2
317070 Varginha,15
317080 Várzea da Palma,2
317090 Varzelândia,4
317103 Verdelândia,2
317120 Vespasiano,24
317130 Viçosa,14
317140 Vieiras,1
317160 Virgem da Lapa,2
317170 Virgínia,1
317180 Virginópolis,2
317200 Visconde do Rio Branco,15
320010 Afonso Cláudio,3
320016 Água Doce do Norte,4
320013 Águia Branca,1
320020 Alegre,9
320040 Anchieta,7
320050 Apiacá,3
320060 Aracruz,22
320070 Atilio Vivacqua,3
320080 Baixo Guandu,9
320090 Barra de São Francisco,8
320100 Boa Esperança,1
320120 Cachoeiro de Itapemirim,59
320130 Cariacica,126
320140 Castelo,6
320150 Colatina,43
320160 Conceição da Barra,4
320170 Conceição do Castelo,2
320190 Domingos Martins,3
320200 Dores do Rio Preto,2
320210 Ecoporanga,6
320220 Fundão,2
320230 Guaçuí,2
320240 Guarapari,31
320245 Ibatiba,2
320250 Ibiraçu,3
320260 Iconha,3
320265 Irupi,1
320270 Itaguaçu,1
320280 Itapemirim,15
320300 Iúna,3
320305 Jaguaré,15
320310 Jerônimo Monteiro,4
320313 João Neiva,3
320320 Linhares,52
320332 Marataízes,16
320335 Marilândia,3
320340 Mimoso do Sul,3
320350 Montanha,6
320360 Mucurici,1
320370 Muniz Freire,1
320390 Nova Venécia,8
320400 Pancas,3
320405 Pedro Canário,7
320410 Pinheiros,6
320420 Piúma,4
320430 Presidente Kennedy,2
320435 Rio Bananal,5
320440 Rio Novo do Sul,1
320450 Santa Leopoldina,5
320455 Santa Maria de Jetibá,4
320460 Santa Teresa,4
320465 São Domingos do Norte,3
320470 São Gabriel da Palha,4
320480 São José do Calçado,1
320490 São Mateus,39
320495 São Roque do Canaã,4
320500 Serra,188
320501 Sooretama,7
320503 Vargem Alta,3
320506 Venda Nova do Imigrante,1
320510 Viana,68
320515 Vila Pavão,1
320517 Vila Valério,2
320520 Vila Velha,135
320530 Vitória,248
330010 Angra dos Reis,94
330015 Aperibé,1
330020 Araruama,25
330022 Areal,1
330023 Armação dos Búzios,18
330025 Arraial do Cabo,14
330030 Barra do Piraí,34
330040 Barra Mansa,49
330045 Belford Roxo,240
330050 Bom Jardim,4
330060 Bom Jesus do Itabapoana,9
330070 Cabo Frio,91
330080 Cachoeiras de Macacu,9
330090 Cambuci,4
330100 Campos dos Goytacazes,300
330110 Cantagalo,9
330093 Carapebus,1
330120 Carmo,5
330130 Casimiro de Abreu,10
330095 Comendador Levy Gasparian,1
330140 Conceição de Macabu,4
330150 Cordeiro,7
330160 Duas Barras,3
330170 Duque de Caxias,903
330180 Engenheiro Paulo de Frontin,6
330185 Guapimirim,20
330187 Iguaba Grande,7
330190 Itaboraí,110
330200 Itaguaí,86
330205 Italva,2
330210 Itaocara,6
330220 Itaperuna,52
330225 Itatiaia,25
330227 Japeri,51
330240 Macaé,115
330245 Macuco,1
330250 Magé,126
330260 Mangaratiba,13
330270 Maricá,55
330280 Mendes,10
330285 Mesquita,107
330300 Miracema,7
330310 Natividade,4
330320 Nilópolis,101
330330 Niterói,384
330340 Nova Friburgo,41
330350 Nova Iguaçu,730
330360 Paracambi,50
330370 Paraíba do Sul,8
330380 Paraty,30
330385 Paty do Alferes,7
330390 Petrópolis,85
330395 Pinheiral,8
330400 Piraí,13
